"open","high","low","close","adjusted close","volume","dividend amount","split coefficient","dates"
179.35,179.498,176.96,176.96,155.606322134,2430500,0,1,"2014-07-31"
181.22,181.44,179.86,180.59,158.798291784,1128500,0,1,"2014-07-30"
181.7,181.89,180.57,180.59,158.798291784,639000,0,1,"2014-07-29"
181.35,181.6,180.28,181.36,159.475376256,485700,0,1,"2014-07-28"
181.65,181.77,180.94,181.28,159.405029817,635700,0,1,"2014-07-25"
182.36,182.5,181.97,182.15,160.170047337,535800,0,1,"2014-07-24"
182,182.32,181.64,182.15,160.170047337,750900,0,1,"2014-07-23"
181.58,182.04,181.42,181.72,159.791935229,1509500,0,1,"2014-07-22"
180.71,181.08,180.13,180.91,159.079677539,866000,0,1,"2014-07-21"
180.02,181.44,179.94,181.3,159.422616427,571500,0,1,"2014-07-18"
180.96,181.62,179.1901,179.41,157.760681815,1103900,0,1,"2014-07-17"
181.65,181.76,181.01,181.54,159.633655743,539400,0,1,"2014-07-16"
181.25,181.6299,180.06,180.85,159.02691771,1207000,0,1,"2014-07-15"
181.2,181.41,181.02,181.16,159.299510159,493100,0,1,"2014-07-14"
179.94,180.36,179.51,180.27,158.51690603,520400,0,1,"2014-07-11"
179.01,180.47,178.836,180.03,158.305866714,614600,0,1,"2014-07-10"
180.36,180.8799,180,180.72,158.912604747,930300,0,1,"2014-07-09"
180.77,180.82,179.5,179.97,158.253106885,749400,0,1,"2014-07-08"
181.38,181.5,180.84,181.14,159.28192355,1151800,0,1,"2014-07-07"
181.31,181.78,181.2,181.73,159.800728534,327900,0,1,"2014-07-03"
180.67,181.03,180.57,180.82,159.000537795,511500,0,1,"2014-07-02"
179.88,181.19,179.83,180.69,158.886224833,1199000,0,1,"2014-07-01"
179.43,179.8199,179.28,179.43,157.778268425,1261200,0,1,"2014-06-30"
178.79,179.56,178.69,179.48,157.822234949,1032300,0,1,"2014-06-27"
179.36,179.38,177.98,179.17,157.5496425,676800,0,1,"2014-06-26"
178.14,179.49,178.13,179.26,157.628782243,586000,0,1,"2014-06-25"
179.29,180.14,178.31,178.5,156.960491077,391700,0,1,"2014-06-24"
179.7,179.73,179.27,179.56,157.892581388,737700,0.809,1,"2014-06-23"
180.51,180.57,180.25,180.45,157.963487691,830300,0,1,"2014-06-20"
180.04,180.2099,179.505,180.09,157.648348564,746900,0,1,"2014-06-19"
178.59,179.97,178.17,179.87,157.455763541,501900,0,1,"2014-06-18"
177.83,178.68,177.631,178.54,156.291499542,2934400,0,1,"2014-06-17"
177.69,178.41,177.5,178.07,155.880067904,756700,0,1,"2014-06-16"
177.73,178.07,177.1727,177.92,155.748759934,731200,0,1,"2014-06-13"
178.42,178.5199,176.98,177.36,155.258543513,891400,0,1,"2014-06-12"
178.64,178.82,178.25,178.69,156.422807512,558100,0,1,"2014-06-11"
179.03,179.3,178.66,179.27,156.930531662,959900,0,1,"2014-06-10"
179.04,179.69,178.87,179.23,156.895516204,461800,0,1,"2014-06-09"
178.62,179.09,178.52,179.05,156.73794664,586800,0,1,"2014-06-06"
177.24,178.38,176.63,178.2,155.993868144,853600,0,1,"2014-06-05"
176.37,177.15,176.2,177,154.943404386,984900,0,1,"2014-06-04"
176.35,176.7857,176.22,176.68,154.663280717,1252900,0,1,"2014-06-03"
176.83,176.85,175.944,176.79,154.759573228,1620200,0,1,"2014-06-02"
176.16,176.69,175.98,176.55,154.549480476,874700,0,1,"2014-05-30"
175.82,176.32,175.37,176.32,154.348141589,541000,0,1,"2014-05-29"
175.52,175.79,175.09,175.32,153.472755124,990900,0,1,"2014-05-28"
175.09,175.55,175,175.5,153.630324687,890000,0,1,"2014-05-27"
173.91,174.54,173.82,174.47,152.728676628,613900,0,1,"2014-05-23"
173.35,174.06,173.06,173.75,152.098398373,859000,0,1,"2014-05-22"
172.36,173.37,172.31,173.28,151.686966734,991300,0,1,"2014-05-21"
172.86,172.88,171.41,171.79,150.382640901,669400,0,1,"2014-05-20"
171.98,173.1,171.81,172.93,151.380581471,926900,0,1,"2014-05-19"
171.8,172.36,171.1,172.34,150.864103457,699600,0,1,"2014-05-16"
172.9,172.93,170.87,171.67,150.277594525,3191100,0,1,"2014-05-15"
173.91,173.97,173,173.23,151.643197411,1335700,0,1,"2014-05-14"
174.09,174.49,173.89,174.07,152.378522042,994800,0,1,"2014-05-13"
172.96,173.98,172.96,173.91,152.238460207,780100,0,1,"2014-05-12"
171.98,172.287,171.2,172.28,150.811580269,955400,0,1,"2014-05-09"
171.96,173.1965,171.4325,171.98,150.548964329,1390700,0,1,"2014-05-08"
171.73,172.22,170.44,172.19,150.732795487,1160600,0,1,"2014-05-07"
172.27,172.38,171.11,171.18,149.848655157,567700,0,1,"2014-05-06"
171.49,172.72,171.02,172.68,151.161734855,792600,0,1,"2014-05-05"
172.56,173.26,172.06,172.32,150.846595727,754800,0,1,"2014-05-02"
172.5,173.03,172.03,172.6,151.091703938,623900,0,1,"2014-05-01"
171.75,172.7104,171.5,172.59,151.082950073,605300,0,1,"2014-04-30"
171.79,172.29,171.43,172.05,150.610241382,1065900,0,1,"2014-04-29"
171.39,171.96,169.49,171.23,149.89242448,647800,0,1,"2014-04-28"
171.55,171.63,170.32,170.71,149.437223518,1357900,0,1,"2014-04-25"
172.63,172.63,171.3,172.09,150.64525684,543900,0,1,"2014-04-24"
172.09,172.16,171.65,171.71,150.312609983,724500,0,1,"2014-04-23"
171.57,172.62,171.49,172.12,150.671518434,1053300,0,1,"2014-04-22"
170.85,171.42,170.66,171.37,150.014978585,804400,0,1,"2014-04-21"
170.35,171.24,170.03,170.74,149.463485112,925500,0,1,"2014-04-17"
169.92,170.55,169.19,170.54,149.288407819,2410000,0,1,"2014-04-16"
167.98,168.87,166.33,168.76,147.73021991,2160100,0,1,"2014-04-15"
167.58,168,166.26,167.6,146.71477161,1456600,0,1,"2014-04-14"
166.92,168.05,166.1121,166.26,145.541753747,1762400,0,1,"2014-04-11"
171.42,171.49,167.6199,167.77,146.863587309,1286900,0,1,"2014-04-10"
170.08,171.46,169.61,171.43,150.067501773,768800,0,1,"2014-04-09"
168.79,169.88,168.22,169.6,148.465544541,2064000,0,1,"2014-04-08"
170.36,170.65,168.5657,168.9,147.852774015,1645000,0,1,"2014-04-07"
173.77,173.82,170.53,170.74,149.463485112,2270800,0,1,"2014-04-04"
173.33,173.37,172.32,172.82,151.28428896,718300,0,1,"2014-04-03"
172.72,173.29,172.4,173.09,151.520643306,1972800,0,1,"2014-04-02"
171.87,172.589,171.76,172.5,151.004165291,1247500,0,1,"2014-04-01"
171.04,171.59,170.87,171.35,149.997470856,822000,0,1,"2014-03-31"
169.63,170.79,169.5,169.9,148.728160481,548900,0,1,"2014-03-28"
169.32,169.78,168.48,169.15,148.071620632,980700,0,1,"2014-03-27"
171.39,171.64,169.45,169.49,148.36925203,1155600,0,1,"2014-03-26"
