r,python,statist,data
NA,NA,NA,NA
NA,NA,NA,4.0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,1.0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
1.0,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
1.0,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
1.0,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,3.0
NA,NA,NA,1.0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
1.0,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,1.0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,2.0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
1.0,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,2.0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,2.0
NA,NA,NA,1.0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,11.0
2.0,1.0,4.0,16.0
NA,1.0,2.0,4.0
1.0,1.0,3.0,11.0
1.0,1.0,3.0,11.0
NA,NA,1.0,5.0
NA,NA,NA,3.0
NA,3.0,4.0,19.0
NA,1.0,1.0,8.0
NA,NA,NA,3.0
1.0,1.0,1.0,7.0
NA,NA,NA,6.0
1.0,1.0,2.0,9.0
NA,NA,NA,NA
2.0,1.0,4.0,16.0
NA,NA,NA,NA
NA,1.0,NA,7.0
NA,2.0,1.0,9.0
1.0,NA,NA,8.0
1.0,1.0,2.0,9.0
1.0,1.0,2.0,9.0
1.0,1.0,2.0,9.0
NA,NA,2.0,11.0
1.0,1.0,4.0,7.0
NA,1.0,3.0,15.0
1.0,NA,1.0,5.0
NA,NA,NA,27.0
NA,NA,NA,11.0
NA,1.0,3.0,3.0
NA,1.0,1.0,8.0
1.0,1.0,5.0,17.0
1.0,1.0,1.0,10.0
NA,2.0,2.0,12.0
NA,2.0,1.0,3.0
1.0,1.0,2.0,13.0
1.0,NA,3.0,15.0
2.0,3.0,NA,16.0
NA,1.0,NA,20.0
NA,NA,NA,NA
2.0,1.0,4.0,16.0
NA,NA,NA,11.0
NA,2.0,NA,5.0
2.0,1.0,4.0,16.0
2.0,2.0,2.0,11.0
NA,NA,NA,11.0
1.0,1.0,NA,6.0
NA,2.0,3.0,15.0
NA,NA,NA,2.0
NA,1.0,1.0,9.0
1.0,1.0,NA,6.0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,2.0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,1.0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
